topic_1,topic_2,topic_3,topic_4,movie_id
0.63380086,0.099370465,0.23664537,0.030183313,30332673
0.16558334,0.18821199,0.2450071,0.40119752,4213160
0.8016298,0.024237646,0.10793217,0.06620037,20624798
0.63549376,0.27218828,0.073476836,0.018841125,2250713
0.37830472,0.02908802,0.23655067,0.35605657,10331139
0.575367,0.18703975,0.107657336,0.12993594,13504095
0.48375323,0.08053848,0.28471398,0.15099427,3610422
0.80710727,0.06027351,0.07915051,0.053468734,8098268
0.5189488,0.13329543,0.1996384,0.14811738,24799628
0.7204076,0.10557324,0.1432259,0.030793248,17841580
0.38339314,0.17467608,0.31517097,0.12675977,16038391
0.7927669,0.011251432,0.17909609,0.016885545,18057739
0.46269864,0.041091796,0.10169216,0.39451742,3762449
0.59295857,0.10181334,0.24032247,0.06490563,2627813
0.6304061,0.1592475,0.0066837273,0.20366271,23117893
0.45110312,0.18341179,0.20147458,0.1640105,164387
0.59655803,0.16873181,0.0025177442,0.23219244,19984296
0.69063854,0.07525947,0.04523478,0.18886721,5455191
0.8896561,0.03481924,0.01258667,0.0629379,2211244
0.393116,0.20987885,0.33116412,0.06584106,453830
0.49616373,0.09775891,0.28482288,0.12125444,4441267
0.22203057,0.6770589,0.028926289,0.07198422,18394422
0.5930871,0.20387198,0.008887547,0.1941534,17673231
0.65194297,0.14174348,0.036377296,0.1699363,24863901
0.5449156,0.16833958,0.08152954,0.20521526,26400853
0.72614205,0.16901287,0.05102746,0.053817593,2301370
0.71851623,0.110179715,0.020099651,0.15120438,22256334
0.6293939,0.3211663,0.0099803535,0.039459452,23605276
0.6954629,0.016653521,0.05088432,0.23699923,832232
0.64823294,0.26099733,0.014930811,0.07583897,9310559
0.7091243,0.04978082,0.12490627,0.11618859,8167617
0.71667886,0.021392498,0.0021046845,0.25982395,34430924
0.4351087,0.29468083,0.14208986,0.12812062,19101343
0.71900916,0.00463445,0.248174,0.028182387,398934
0.30743983,0.23434153,0.23547332,0.22274534,14979283
0.14410596,0.37284103,0.0016120088,0.48144102,4223800
0.19438894,0.20690215,0.18277845,0.4159304,640040
0.150272,0.37169293,0.10459544,0.37343964,5239682
0.31571782,0.367391,0.0014537442,0.31543747,8422241
0.70186394,0.08161294,0.023044268,0.19347884,3599979
0.21866341,0.009059842,0.22251025,0.5497665,12138219
0.6337125,0.039462775,0.07733774,0.24948704,1394167
0.6855395,0.048701916,0.15113743,0.114621185,22470177
0.22407448,0.29103214,0.107402384,0.37749097,20989785
0.68452567,0.061024185,0.22184741,0.03260268,13295684
0.19640611,0.52381754,0.15652786,0.123248495,1843039
0.32737806,0.22855464,0.011285917,0.43278134,34364391
0.6430137,0.008347032,0.016274428,0.33236486,14233418
0.90831107,0.08027937,0.0031300047,0.008279562,31239628
0.9500613,0.0335369,0.0023001144,0.014101667,34757217
0.4924104,0.052495178,0.09092876,0.3641656,179326
0.38368633,0.059181064,0.002772404,0.5543603,179351
0.38637692,0.19380991,0.0015276737,0.4182855,1730084
0.8130709,0.02696592,0.00822798,0.15173523,3680813
0.5229362,0.11153337,0.054242514,0.31128794,1682418
0.80481976,0.12866332,0.0332814,0.033235475,20460767
0.7710505,0.014593575,0.0026558975,0.21169999,16731304
0.23522647,0.48550886,0.24213213,0.037132584,3555951
0.6707629,0.02540971,0.0010571758,0.30277023,33388421
0.19134396,0.0044649416,0.26629445,0.5378967,2763171
0.6802776,0.26738042,0.020711292,0.03163072,33940717
0.38678417,0.45062762,0.14090957,0.021678593,14141235
0.449087,0.2444383,0.21354857,0.09292613,11081144
0.5066882,0.15833658,0.17250223,0.16247298,92605
0.5284762,0.058981925,0.25314274,0.1593991,34059175
0.30795652,0.26317295,0.02089734,0.40797314,4753550
0.047655933,0.072708204,0.37827605,0.50135976,15169291
0.7758829,0.040404473,0.016316956,0.16739564,24470766
0.32588333,0.012817134,0.035320967,0.6259786,25244870
0.5498536,0.05413647,0.08579296,0.3102169,11699443
0.52217543,0.18014485,0.06580399,0.23187569,11699514
0.21268933,0.14789703,0.25692174,0.38249192,21798180
0.25107482,0.47599664,0.0012279251,0.27170062,26865950
0.3148863,0.14095788,0.072682686,0.47147307,7602265
0.122908525,0.42531362,0.012882033,0.43889582,18200505
0.4074125,0.03214134,0.0854822,0.4749639,1135297
0.6104822,0.0041554156,0.09043788,0.2949245,607444
0.5942166,0.086559914,0.105310746,0.21391273,2026601
0.09063008,0.6843057,0.12774864,0.09731561,15357779
0.21685839,0.012007962,0.09947068,0.6716629,31514497
0.15763289,0.83039284,0.003089126,0.008885077,25936686
0.22978006,0.06326142,0.024175756,0.6827828,8407529
0.49660486,0.077419974,0.086145595,0.3398296,31309330
0.50096655,0.14776392,0.059066042,0.2922035,780888
0.3876307,0.03167563,0.122583665,0.45811,4639222
0.6726503,0.29169986,0.012116897,0.02353293,3595288
0.3205746,0.24430947,0.027639473,0.40747645,3390263
0.16055356,0.39264095,0.18940507,0.25740042,2190622
0.20497938,0.7216407,0.0026282377,0.07075167,3471434
0.8609884,0.120669015,0.004653988,0.0136886025,4709385
0.4956107,0.008235528,0.30377454,0.19237925,26248852
0.7017292,0.07073443,0.14780754,0.07972881,2627364
0.17073965,0.70472145,0.0022434867,0.12229541,13644074
0.6668937,0.09454484,0.20492512,0.033636328,14545761
0.42497945,0.38947615,0.16080408,0.024740305,11600033
0.73266184,0.017357929,0.12335555,0.12662469,15336744
0.703055,0.26815578,0.004150918,0.024638314,28375513
0.47299007,0.48416355,0.012716598,0.030129774,909006
0.3586625,0.25598207,0.0012243666,0.3841311,18850187
0.33051175,0.5739267,0.034188055,0.0613735,23758269
0.16701432,0.29578778,0.18933655,0.34786132,1329088
0.35915563,0.5527314,0.0028442023,0.08526879,2428475
0.59003717,0.3817433,0.0059158425,0.022303699,13767243
0.4721236,0.05897503,0.06879302,0.40010837,737797
0.46279153,0.32945934,0.0062716883,0.20147747,14254136
0.30362648,0.37670374,0.114515215,0.20515458,18982622
0.54645723,0.21082784,0.076424696,0.16629021,25990872
0.7874158,0.04494969,0.062937796,0.104696736,13377058
0.24287091,0.68834263,0.0021443325,0.066642165,10619699
0.8033127,0.06413575,0.050309908,0.082241625,13048086
0.37539655,0.06455463,0.17243035,0.38761842,1526194
0.176551,0.32532257,0.40377963,0.09434683,407288
0.09221606,0.05866471,0.12607573,0.7230435,32849380
0.9690219,0.013656267,0.0037933255,0.0135285305,2014153
0.105006665,0.4283873,0.004158885,0.4624471,896674
0.4823901,0.31058112,0.010684553,0.19634424,23281607
0.16934912,0.47358868,0.0022449074,0.3548173,16658874
0.14711824,0.29079375,0.0011016942,0.5609863,5516824
0.32971793,0.15388127,0.26883703,0.24756378,12558286
0.75369185,0.007488453,0.13364483,0.10517491,677920
0.567278,0.082862444,0.23832878,0.111530736,900780
0.885145,0.029490914,0.0011975867,0.084166534,9990262
0.10664546,0.25410125,0.20296896,0.43628436,10677545
0.7794892,0.13298613,0.015710615,0.07181403,26526241
0.20607486,0.2443045,0.09804673,0.4515739,7034456
0.26451105,0.1673824,0.23530975,0.33279684,23991829
0.22883491,0.29850712,0.088014565,0.38464344,23941708
0.24032481,0.43760395,0.11424084,0.20783041,2324217
0.34604293,0.37942722,0.0497326,0.22479723,6484015
0.14155157,0.45535436,0.0763818,0.32671225,1195560
0.15759805,0.48896345,0.10175006,0.25168845,18436536
0.37391976,0.16864645,0.013268376,0.44416535,32297995
0.1928521,0.496289,0.024649415,0.28620946,30570375
0.31183094,0.64931333,0.0056774425,0.03317826,32741807
0.7035079,0.24819426,0.0005736045,0.047724247,213462
0.4979648,0.1546509,0.014472366,0.33291197,18932830
0.375033,0.14109471,0.032608327,0.45126396,15635606
0.7174589,0.029563522,0.12341291,0.12956466,468326
0.33420262,0.22966479,0.23061118,0.20552143,33509716
0.4079555,0.2661299,0.11388517,0.2120294,31106274
0.8043127,0.103329815,0.0017295491,0.09062796,33505908
0.2261067,0.50109965,0.006543037,0.2662506,23049004
0.40417278,0.41139862,0.03599357,0.14843504,677394
0.12060068,0.82783645,0.005497931,0.04606496,7905624
0.6753634,0.07282195,0.13076557,0.12104905,360138
0.3061225,0.3922089,0.027882906,0.27378568,11952667
0.41514435,0.0045301816,0.008722217,0.5716033,32867956
0.26006204,0.3394985,0.16645308,0.23398641,18418582
0.7139322,0.029223071,0.079441346,0.17740336,9812356
0.64206296,0.069885924,0.14284088,0.1452102,695700
0.85839134,0.011575872,0.012372943,0.11765985,24642297
0.55956584,0.3305255,0.0202354,0.08967327,11599737
0.8339309,0.016006673,0.07963205,0.070430405,13439139
0.733177,0.023640908,0.12655623,0.11662583,2470904
0.12583041,0.24025033,0.11087273,0.52304655,145892
0.20118098,0.24359588,0.03122259,0.5240005,5971538
0.49882382,0.1723226,0.006169901,0.32268366,8343962
0.8220244,0.037634127,0.102169335,0.038172144,14524270
0.5542483,0.030891784,0.38618806,0.028671898,18650739
0.6345835,0.015723899,0.0013318255,0.3483608,6329365
0.67898625,0.19649835,0.024504857,0.10001055,3583927
0.76903194,0.015647952,0.12753767,0.08778244,2364320
0.5979897,0.1848548,0.0070761084,0.21007943,32648655
0.7252674,0.12800415,0.10010685,0.046621613,17492285
0.3007059,0.58463335,0.0129652945,0.101695456,5220823
